Identifier,CUSIP,Ex-Date,RecordDate,Payable Date,Total Distribution,ST Cap Gains,LT Cap Gains,Frequency,,,,,
SPY,78462F103,2025-03-21,2025-03-21,2025-04-30,1.695528,,,Quarterly,,,,,
SPY,78462F103,2024-12-20,2024-12-20,2025-01-31,1.965548,0.000000,0.000000,Quarterly,,,,,
SPY,78462F103,2024-09-20,2024-09-20,2024-10-31,1.745531,,,Quarterly,,,,,
SPY,78462F103,2024-06-21,2024-06-21,2024-07-31,1.759024,,,Quarterly,,,,,
SPY,78462F103,2024-03-15,2024-03-18,2024-04-30,1.594937,,,Quarterly,,,,,
SPY,78462F103,2023-12-15,2023-12-18,2024-01-31,1.906073,0.000000,,Quarterly,,,,,
SPY,78462F103,2023-09-15,2023-09-18,2023-10-31,1.583169,,,Quarterly,,,,,
SPY,78462F103,2023-06-16,2023-06-20,2023-07-31,1.638367,,,Quarterly,,,,,
SPY,78462F103,2023-03-17,2023-03-20,2023-04-28,1.506204,,,Quarterly,,,,,
SPY,78462F103,2022-12-16,2022-12-19,2023-01-31,1.781400,0.000000,,Quarterly,,,,,
SPY,78462F103,2022-09-16,2022-09-19,2022-10-31,1.596398,,,Quarterly,,,,,
SPY,78462F103,2022-06-17,2022-06-21,2022-07-29,1.576871,,,Quarterly,,,,,
SPY,78462F103,2022-03-18,2022-03-21,2022-04-29,1.366009,,,Quarterly,,,,,
SPY,78462F103,2021-12-17,2021-12-20,2022-01-31,1.636431,0.000000,0.000000,Quarterly,,,,,
SPY,78462F103,2021-09-17,2021-09-20,2021-10-29,1.428117,,,Quarterly,,,,,
SPY,78462F103,2021-06-18,2021-06-21,2021-07-30,1.375875,,,Quarterly,,,,,
SPY,78462F103,2021-03-19,2021-03-22,2021-04-30,1.277788,,,Quarterly,,,,,
SPY,78462F103,2020-12-18,2020-12-21,2021-01-29,1.580000,0.000000,0.000000,Quarterly,,,,,
SPY,78462F103,2020-09-18,2020-09-21,2020-10-30,1.339224,,,Quarterly,,,,,
SPY,78462F103,2020-06-19,2020-06-22,2020-07-31,1.366242,,,Quarterly,,,,,
SPY,78462F103,2020-03-20,2020-03-23,2020-04-30,1.405559,,,Quarterly,,,,,
SPY,78462F103,2019-12-20,2019-12-23,2020-01-31,1.569992,,,Quarterly,,,,,
SPY,78462F103,2019-09-20,2019-09-23,2019-10-31,1.383619,,,Quarterly,,,,,
SPY,78462F103,2019-06-21,2019-06-24,2019-07-31,1.431640,,,Quarterly,,,,,
SPY,78462F103,2019-03-15,2019-03-18,2019-04-30,1.233119,,,Quarterly,,,,,
SPY,78462F103,2018-12-21,2018-12-24,2019-01-31,1.435429,,,Quarterly,,,,,
SPY,78462F103,2018-09-21,2018-09-24,2018-10-31,1.322611,,,Quarterly,,,,,
SPY,78462F103,2018-06-15,2018-06-18,2018-07-31,1.245568,,,Quarterly,,,,,
SPY,78462F103,2018-03-16,2018-03-19,2018-04-30,1.096775,,,Quarterly,,,,,
SPY,78462F103,2017-12-15,2017-12-18,2018-01-31,1.351333,,,Quarterly,,,,,
SPY,78462F103,2017-09-15,2017-09-18,2017-10-31,1.234574,,,Quarterly,,,,,
SPY,78462F103,2017-06-16,2017-06-20,2017-07-31,1.183108,,,Quarterly,,,,,
SPY,78462F103,2017-03-17,2017-03-21,2017-04-28,1.033118,,,Quarterly,,,,,
SPY,78462F103,2016-12-16,2016-12-20,2017-01-31,1.328930,,,Quarterly,,,,,
SPY,78462F103,2016-09-16,2016-09-20,2016-10-31,1.082068,,,Quarterly,,,,,
SPY,78462F103,2016-06-17,2016-06-21,2016-07-29,1.078442,,,Quarterly,,,,,
SPY,78462F103,2016-03-18,2016-03-22,2016-04-29,1.049604,,,Quarterly,,,,,
SPY,78462F103,2015-12-18,2015-12-22,2016-01-29,1.211550,,,Quarterly,,,,,
SPY,78462F103,2015-09-18,2015-09-22,2015-10-30,1.033430,,,Quarterly,,,,,
SPY,78462F103,2015-06-19,2015-06-23,2015-07-31,1.030070,,,Quarterly,,,,,
SPY,78462F103,2015-03-20,2015-03-24,2015-04-30,0.930810,,,Quarterly,,,,,
SPY,78462F103,2014-12-19,2014-12-23,2015-01-30,1.134920,,,Quarterly,,,,,
SPY,78462F103,2014-09-19,2014-09-23,2014-10-31,0.939190,,,Quarterly,,,,,
SPY,78462F103,2014-06-20,2014-06-24,2014-07-31,0.936690,,,Quarterly,,,,,
SPY,78462F103,2014-03-21,2014-03-25,2014-04-30,0.824610,,,Quarterly,,,,,
SPY,78462F103,2013-12-20,2013-12-24,2014-01-31,0.980250,,,Quarterly,,,,,
SPY,78462F103,2013-09-20,2013-09-24,2013-10-31,0.837950,,,Quarterly,,,,,
SPY,78462F103,2013-06-21,2013-06-25,2013-07-31,0.839120,,,Quarterly,,,,,
SPY,78462F103,2013-03-15,2013-03-19,2013-04-30,0.693720,,,Quarterly,,,,,
SPY,78462F103,2012-12-21,2012-12-26,2013-01-31,1.021830,,,Quarterly,,,,,
SPY,78462F103,2012-09-21,2012-09-25,2012-10-31,0.779450,,,Quarterly,,,,,
SPY,78462F103,2012-06-15,2012-06-19,2012-07-31,0.688260,,,Quarterly,,,,,
SPY,78462F103,2012-03-16,2012-03-20,2012-04-30,0.613890,,,Quarterly,,,,,
SPY,78462F103,2011-12-16,2011-12-20,2012-01-31,0.770130,,,Quarterly,,,,,
SPY,78462F103,2011-09-16,2011-09-20,2011-10-31,0.624954,,,Quarterly,,,,,
SPY,78462F103,2011-06-17,2011-06-21,2011-07-29,0.627620,,,Quarterly,,,,,
SPY,78462F103,2011-03-18,2011-03-22,2011-04-29,0.553320,,,Quarterly,,,,,
SPY,78462F103,2010-12-17,2010-12-21,2011-01-31,0.652760,,,Quarterly,,,,,
SPY,78462F103,2010-09-17,2010-09-21,2010-10-29,0.602130,,,Quarterly,,,,,
SPY,78462F103,2010-06-18,2010-06-22,2010-07-30,0.531280,,,Quarterly,,,,,
SPY,78462F103,2010-03-19,2010-03-23,2010-04-30,0.480380,,,Quarterly,,,,,
SPY,78462F103,2009-12-18,2009-12-22,2010-01-29,0.590190,,,Quarterly,,,,,
SPY,78462F103,2009-09-18,2009-09-22,2009-10-30,0.508330,,,Quarterly,,,,,
SPY,78462F103,2009-06-19,2009-06-23,2009-07-31,0.518190,,,Quarterly,,,,,
SPY,78462F103,2009-03-20,2009-03-24,2009-04-30,0.561430,,,Quarterly,,,,,
SPY,78462F103,2008-12-19,2008-12-23,2009-01-30,0.719340,,,Quarterly,,,,,
SPY,78462F103,2008-09-19,2008-09-23,2008-10-31,0.690920,,,Quarterly,,,,,
SPY,78462F103,2008-06-20,2008-06-24,2008-07-31,0.669220,,,Quarterly,,,,,
SPY,78462F103,2008-03-20,2008-03-25,2008-04-30,0.641950,,,Quarterly,,,,,
SPY,78462F103,2007-12-21,2007-12-26,2008-01-31,0.775410,,,Quarterly,,,,,
SPY,78462F103,2007-09-21,2007-09-25,2007-10-31,0.718720,,,Quarterly,,,,,
SPY,78462F103,2007-06-15,2007-06-19,2007-07-31,0.655600,,,Quarterly,,,,,
SPY,78462F103,2007-03-16,2007-03-20,2007-04-30,0.551270,,,Quarterly,,,,,
SPY,78462F103,2006-12-15,2006-12-19,2007-01-31,0.792650,,,Quarterly,,,,,
SPY,78462F103,2006-09-15,2006-09-19,2006-10-31,0.579340,,,Quarterly,,,,,
SPY,78462F103,2006-06-16,2006-06-20,2006-06-16,0.555470,,,Quarterly,,,,,
SPY,78462F103,2006-03-17,2006-03-21,2006-04-28,0.519470,,,Quarterly,,,,,
SPY,78462F103,2005-12-16,2005-12-20,2006-01-31,0.671670,,,Quarterly,,,,,
SPY,78462F103,2005-09-16,2005-09-20,2005-10-31,0.521690,,,Quarterly,,,,,
SPY,78462F103,2005-06-17,2005-06-21,2005-07-29,0.487620,,,Quarterly,,,,,
SPY,78462F103,2005-03-18,2005-03-22,2005-04-29,0.467090,,,Quarterly,,,,,
SPY,78462F103,2004-12-17,2004-12-21,2005-01-31,0.567890,,,Quarterly,,,,,
SPY,78462F103,2004-11-15,2004-11-17,2004-12-02,0.351020,,,Quarterly,,,,,
SPY,78462F103,2004-09-17,2004-09-21,2004-10-29,0.468780,,,Quarterly,,,,,
SPY,78462F103,2004-06-18,2004-06-22,2004-07-30,0.413760,,,Quarterly,,,,,
SPY,78462F103,2004-03-19,2004-03-23,2004-04-30,0.394760,,,Quarterly,,,,,
SPY,78462F103,2003-12-19,2003-12-23,2004-01-30,0.515590,,,Quarterly,,,,,
SPY,78462F103,2003-09-19,2003-09-23,2003-10-31,0.400060,,,Quarterly,,,,,
SPY,78462F103,2003-06-20,2003-06-24,2003-07-31,0.360250,,,Quarterly,,,,,
SPY,78462F103,2003-03-21,2003-03-25,2003-04-30,0.354380,,,Quarterly,,,,,
SPY,78462F103,2002-12-20,2002-12-24,2003-01-31,0.435840,,,Quarterly,,,,,
SPY,78462F103,2002-09-20,2002-09-24,2002-10-31,0.378100,,,Quarterly,,,,,
SPY,78462F103,2002-06-21,2002-06-25,2002-07-31,0.353370,,,Quarterly,,,,,
SPY,78462F103,2002-03-15,2002-03-19,2002-04-30,0.330980,,,Quarterly,,,,,
SPY,78462F103,2001-12-21,2001-12-26,2002-01-31,0.392770,,,Quarterly,,,,,
SPY,78462F103,2001-09-21,2001-09-25,2001-10-31,0.369000,,,Quarterly,,,,,
SPY,78462F103,2001-06-15,2001-06-19,2001-07-31,0.346440,,,Quarterly,,,,,
SPY,78462F103,2001-03-16,2001-03-20,2001-04-30,0.315510,,,Quarterly,,,,,
