Index,Date,Close
SP500,2019-01-03,-0.025068332
SP500,2019-01-04,0.033759399
SP500,2019-01-07,0.006985976
SP500,2019-01-08,0.009648587
SP500,2019-01-09,0.004089671
SP500,2019-01-10,0.004508241
SP500,2019-01-11,-0.000146309
SP500,2019-01-14,-0.005271395
SP500,2019-01-15,0.010664619
SP500,2019-01-16,0.002219521
SP500,2019-01-17,0.007562731
SP500,2019-01-18,0.013096913
SP500,2019-01-22,-0.014258477
SP500,2019-01-23,0.00220049
SP500,2019-01-24,0.00137478
SP500,2019-01-25,0.008452868
SP500,2019-01-28,-0.007877776
SP500,2019-01-29,-0.001457308
SP500,2019-01-30,0.01542961
SP500,2019-01-31,0.008560649
SP500,2019-02-01,0.000898207
SP500,2019-02-04,0.006753381
SP500,2019-02-05,0.00469737
SP500,2019-02-06,-0.002226916
SP500,2019-02-07,-0.009401193
SP500,2019-02-08,0.000675973
SP500,2019-02-11,0.000708852
SP500,2019-02-12,0.012807853
SP500,2019-02-13,0.003019432
SP500,2019-02-14,-0.002655163
SP500,2019-02-15,0.010820005
SP500,2019-02-19,0.001497621
SP500,2019-02-20,0.001775534
SP500,2019-02-21,-0.003532669
SP500,2019-02-22,0.006390639
SP500,2019-02-25,0.001231104
SP500,2019-02-26,-0.00079077
SP500,2019-02-27,-0.000544197
SP500,2019-02-28,-0.002829508
SP500,2019-03-01,0.006871657
SP500,2019-03-04,-0.003888107
SP500,2019-03-05,-0.001132173
SP500,2019-03-06,-0.006545474
SP500,2019-03-07,-0.008158911
SP500,2019-03-08,-0.002133964
SP500,2019-03-11,0.014559536
SP500,2019-03-12,0.002948966
SP500,2019-03-13,0.006925547
SP500,2019-03-14,-0.000868399
SP500,2019-03-15,0.004972519
SP500,2019-03-18,0.003699097
SP500,2019-03-19,-0.00013057
SP500,2019-03-20,-0.002948697
SP500,2019-03-21,0.010794015
SP500,2019-03-22,-0.019156827
SP500,2019-03-25,-0.000839373
SP500,2019-03-26,0.007157053
SP500,2019-03-27,-0.004655143
SP500,2019-03-28,0.003583055
SP500,2019-03-29,0.006711706
SP500,2019-04-01,0.011502196
SP500,2019-04-02,1.74556E-05
SP500,2019-04-03,0.002146072
SP500,2019-04-04,0.002082465
SP500,2019-04-05,0.004625718
SP500,2019-04-08,0.001046912
SP500,2019-04-09,-0.006085976
SP500,2019-04-10,0.003471838
SP500,2019-04-11,3.81223E-05
SP500,2019-04-12,0.006587578
SP500,2019-04-15,-0.000629567
SP500,2019-04-16,0.000509228
SP500,2019-04-17,-0.002276401
SP500,2019-04-18,0.001577847
SP500,2019-04-22,0.001011506
SP500,2019-04-23,0.008802351
SP500,2019-04-24,-0.002194169
SP500,2019-04-25,-0.000369042
SP500,2019-04-26,0.00467435
SP500,2019-04-29,0.001070949
SP500,2019-04-30,0.000950965
SP500,2019-05-01,-0.007530446
SP500,2019-05-02,-0.002126245
SP500,2019-05-03,0.009592127
SP500,2019-05-06,-0.004481013
SP500,2019-05-07,-0.016649488
SP500,2019-05-08,-0.001606715
SP500,2019-05-09,-0.003025999
SP500,2019-05-10,0.003713394
SP500,2019-05-13,-0.024426469
SP500,2019-05-14,0.007983988
SP500,2019-05-15,0.005821994
SP500,2019-05-16,0.008855957
SP500,2019-05-17,-0.005854437
SP500,2019-05-20,-0.006772258
SP500,2019-05-21,0.008459949
SP500,2019-05-22,-0.002828392
SP500,2019-05-23,-0.011985692
SP500,2019-05-24,0.001352644
SP500,2019-05-28,-0.00841095
SP500,2019-05-29,-0.00693591
SP500,2019-05-30,0.002096273
SP500,2019-05-31,-0.013283205
SP500,2019-06-03,-0.002769071
SP500,2019-06-04,0.021205927
