"Model","Identifier","Name","Size","Country","Currency","Sector","Average","Factor 1","Factor 2","Factor 3","Factor 4","Factor 5","Factor 6","Factor 7","Factor 8","Factor 9","Factor 10","Factor 11","Factor 12","Factor 13","Factor 14","Factor 15","Factor 16","Factor 17","Factor 18","Factor 19","Factor 20","Residual Variance"
"Uk","GB0005405286","HSBC Holdings",159064400000.00,"UNITED KINGDOM","GBP","Finance",2.59864382421854e-03,0.01,-4.811079e-03,-8.858601e-03,3.640757e-03,-3.856328e-03,2.227872e-03,5.638117e-03,-1.366174e-03,4.843334e-03,-1.928921e-03,7.117379e-04,-1.06771e-03,1.1145e-03,-1.937143e-04,4.964654e-03,4.824355e-04,4.974795e-04,-1.502967e-04,-6.400675e-04,1.231837e-03,2.401671e-04
"Uk","GB0009895292","AstraZeneca",128267200000.00,"UNITED KINGDOM","GBP","Health Technology",3.62574085328432e-03,4.372044e-03,-0.01,4.093086e-03,-0.01,3.121931e-04,-2.74048e-04,9.820035e-04,4.939898e-03,1.721044e-03,3.685906e-03,2.693145e-03,-3.773449e-03,3.053064e-03,-9.393981e-04,-1.646275e-03,-1.219678e-03,-1.294519e-03,3.291948e-03,-5.523494e-04,1.499494e-03,6.884622e-04
"Uk","GB0007980591","BP",126853300000.00,"UNITED KINGDOM","GBP","Energy Minerals",2.74633091218331e-03,0.01,-0.01,-0.01,-2.166661e-03,-3.676053e-03,4.542073e-03,3.20269e-03,5.387183e-03,-2.937475e-03,1.538011e-03,-4.757262e-03,2.020342e-03,-2.017301e-03,5.063961e-03,-2.506902e-03,-2.250129e-03,-3.420041e-03,3.029096e-04,-4.218491e-04,5.230367e-04,2.528479e-04
"Uk","GB00B03MLX29","Royal Dutch Shell A",122044000000.00,"UNITED KINGDOM","GBP","Energy Minerals",2.8473880278767e-03,0.01,-0.01,-0.01,-1.25016e-03,-3.257772e-03,5.667977e-03,3.109988e-03,5.531512e-03,-2.023887e-03,1.487263e-03,-5.168713e-03,1.860072e-03,-1.578461e-03,6.00529e-03,-2.37472e-03,-2.674401e-03,-4.215871e-03,1.681268e-03,3.759196e-04,6.798506e-04,1.875444e-04
"Uk","GB0009252882","GlaxoSmithKline",117022600000.00,"UNITED KINGDOM","GBP","Health Technology",2.27718281088682e-03,5.056006e-03,-0.01,9.259094e-04,-0.01,-3.17352e-04,2.804054e-03,-7.800229e-04,3.193137e-03,2.608695e-03,1.980729e-03,1.344065e-03,6.738873e-04,2.623545e-04,-3.071478e-03,-9.598316e-04,-1.850785e-03,7.807004e-04,1.650753e-03,1.164186e-03,3.838202e-05,2.721022e-04
"Uk","GB00B03MM408","Royal Dutch Shell B",109607800000.00,"UNITED KINGDOM","GBP","Energy Minerals",2.8607213453905e-03,0.01,-0.01,-0.01,-1.118811e-03,-3.441143e-03,5.865402e-03,3.076335e-03,6.057997e-03,-1.671757e-03,9.785339e-04,-5.227522e-03,2.040413e-03,-1.111129e-03,5.699311e-03,-2.082014e-03,-2.522214e-03,-4.271834e-03,1.996e-03,5.327117e-04,1.007514e-03,2.141801e-04
"Uk","GB0002875804","British American Tobacco",97115390000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",3.20395301766133e-05,8.7892e-03,-0.01,1.098169e-03,-7.698056e-03,-1.913133e-03,5.607109e-03,-1.14361e-03,-7.789723e-04,-4.660022e-04,-1.580767e-03,-9.555529e-04,1.710284e-03,-2.055232e-04,-7.244545e-04,-6.386969e-04,-1.580741e-03,-3.343298e-03,-2.341197e-03,-5.806795e-04,-1.271151e-03,8.888429e-04
"Uk","GB0002374006","Diageo",96332540000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",3.21599334957549e-03,5.787244e-03,-0.01,2.705468e-03,-8.765982e-03,-5.985653e-04,2.172248e-03,-1.980194e-03,2.868035e-03,4.638674e-03,2.259627e-03,-1.361528e-03,4.940485e-04,1.152698e-03,-6.522014e-04,-1.37042e-03,1.997725e-03,-4.488215e-04,-4.895646e-04,6.773193e-04,3.771435e-03,1.74599e-04
"Uk","GB0007188757","Rio Tinto",73294000000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",5.51972874539365e-03,0.01,-0.01,-0.02,8.394634e-03,5.751809e-04,-4.980231e-03,-6.081517e-03,6.543804e-03,2.522836e-04,6.508229e-03,5.923291e-03,1.25112e-03,7.836336e-03,-2.063103e-03,-1.427903e-03,-4.835993e-04,-2.009729e-03,7.029645e-04,4.361894e-03,2.488324e-03,3.620478e-04
"Uk","GB00B10RZP78","Unilever",65303430000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",2.2890911361869e-03,3.25859e-03,-0.01,2.467564e-03,-0.01,1.148322e-03,1.938272e-03,-2.385607e-03,3.014605e-03,4.203327e-03,1.320098e-03,1.151221e-04,1.608612e-03,-2.729933e-03,-3.940666e-03,-4.316546e-03,1.850003e-03,-3.945701e-03,-1.252859e-03,1.325768e-03,-4.48446e-05,3.077996e-04
"Uk","GB0008706128","Lloyds Banking Group",58009120000.00,"UNITED KINGDOM","GBP","Finance",1.02459429692224e-03,0.02,0.02,-7.067805e-03,3.565474e-03,2.803817e-04,2.7582e-03,5.848283e-03,-7.273949e-03,2.54709e-03,1.558983e-03,3.212564e-03,-4.28214e-03,1.778623e-04,8.694184e-04,-2.084218e-03,3.424749e-03,-1.342177e-03,3.404718e-03,1.324242e-03,-1.513197e-03,4.271238e-04
"Uk","GB00B24CGK77","Reckitt Benckiser Group",55737690000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",9.68604530930989e-05,4.138682e-03,-9.241956e-03,1.963852e-03,-8.888111e-03,1.128326e-04,2.734479e-03,-3.312987e-03,1.948405e-03,2.086587e-03,1.679223e-03,7.174523e-04,2.273908e-03,-2.109481e-03,-4.090363e-03,-4.078738e-03,-2.257512e-03,-4.103817e-03,2.55328e-03,3.00089e-03,2.007278e-03,4.278721e-04
"Uk","GB00BH4HKS39","Vodafone Group",52663220000.00,"UNITED KINGDOM","GBP","Communications",-6.3138115089151e-04,0.01,-6.858474e-03,4.597046e-05,-7.021268e-03,-1.240977e-04,1.59217e-03,1.006237e-03,-2.021076e-03,5.435635e-03,-1.912965e-03,-1.796064e-03,-5.33409e-03,-4.851712e-04,-2.574292e-03,3.382632e-04,2.241156e-04,-9.877477e-04,4.881721e-03,-4.464715e-03,-1.553786e-03,6.244745e-04
"Uk","GB00BH0P3Z91","BHP Group",49626150000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",5.58020426498764e-03,0.02,-0.01,-0.02,8.834274e-03,1.110999e-03,-2.70521e-03,-6.310112e-03,8.592889e-03,-4.595139e-05,7.921344e-03,2.514933e-03,8.738506e-04,6.284887e-03,-3.227013e-03,-1.269567e-03,-1.738891e-03,-3.063455e-03,-6.875185e-04,1.329551e-03,3.690346e-04,3.703199e-04
"Uk","GB0007099541","Prudential",49210370000.00,"UNITED KINGDOM","GBP","Finance",2.14942826653816e-03,0.02,3.650998e-03,-9.646256e-03,5.094341e-03,-2.345562e-03,3.862638e-03,9.326859e-03,-1.075959e-03,4.427756e-03,-4.69617e-03,2.802619e-03,7.170985e-04,3.329855e-03,-5.797348e-03,3.098173e-04,1.537301e-03,4.542365e-04,-1.356904e-03,-9.211997e-04,2.677533e-03,3.572565e-04
"Uk","GB00B2B0DG97","RELX",47988930000.00,"UNITED KINGDOM","GBP","Commercial Services",2.75494426879454e-03,8.272727e-03,-0.01,4.520678e-03,-9.328409e-03,1.71335e-03,-2.414771e-04,1.068964e-03,3.892663e-03,1.660915e-03,-4.47691e-04,-1.812936e-03,3.608707e-04,5.745377e-04,-2.162564e-03,2.894377e-04,2.371673e-03,-3.379107e-04,-1.729911e-03,1.522658e-03,3.158996e-03,1.99267e-04
