Identifier,Description,Trade Date,Open,High,Low,Close,Volume
.INX,S&P 500 INDEX,1982-01-04,,,,122.74,
.INX,S&P 500 INDEX,1982-01-05,,,,120.05,
.INX,S&P 500 INDEX,1982-01-06,,,,119.18,
.INX,S&P 500 INDEX,1982-01-07,,,,118.93,
.INX,S&P 500 INDEX,1982-01-08,,,,119.55,
.INX,S&P 500 INDEX,1982-01-11,,,,116.78,
.INX,S&P 500 INDEX,1982-01-12,,,,116.3,
.INX,S&P 500 INDEX,1982-01-13,,,,114.88,
.INX,S&P 500 INDEX,1982-01-14,,,,115.54,
.INX,S&P 500 INDEX,1982-01-15,,,,116.33,
.INX,S&P 500 INDEX,1982-01-18,,,,117.22,
.INX,S&P 500 INDEX,1982-01-19,,,,115.97,
.INX,S&P 500 INDEX,1982-01-20,,,,115.27,
.INX,S&P 500 INDEX,1982-01-21,,,,115.75,
.INX,S&P 500 INDEX,1982-01-22,,,,115.38,
.INX,S&P 500 INDEX,1982-01-25,,,,115.41,
.INX,S&P 500 INDEX,1982-01-26,,,,115.19,
.INX,S&P 500 INDEX,1982-01-27,,,,115.14,
.INX,S&P 500 INDEX,1982-01-28,,,,118.92,
.INX,S&P 500 INDEX,1982-01-29,,,,120.4,
.INX,S&P 500 INDEX,1982-02-01,,,,117.78,
.INX,S&P 500 INDEX,1982-02-02,,,,118.01,
.INX,S&P 500 INDEX,1982-02-03,,,,116.48,
.INX,S&P 500 INDEX,1982-02-04,,,,116.42,
.INX,S&P 500 INDEX,1982-02-05,,,,117.26,
.INX,S&P 500 INDEX,1982-02-08,,,,114.63,
.INX,S&P 500 INDEX,1982-02-09,,,,113.68,
.INX,S&P 500 INDEX,1982-02-10,,,,114.66,
.INX,S&P 500 INDEX,1982-02-11,,,,114.43,
.INX,S&P 500 INDEX,1982-02-12,,,,114.38,
.INX,S&P 500 INDEX,1982-02-16,,,,114.06,
.INX,S&P 500 INDEX,1982-02-17,,,,113.69,
.INX,S&P 500 INDEX,1982-02-18,,,,113.82,
.INX,S&P 500 INDEX,1982-02-19,,,,113.22,
.INX,S&P 500 INDEX,1982-02-22,,,,111.59,
.INX,S&P 500 INDEX,1982-02-23,,,,111.51,
.INX,S&P 500 INDEX,1982-02-24,,,,113.47,
.INX,S&P 500 INDEX,1982-02-25,,,,113.21,
.INX,S&P 500 INDEX,1982-02-26,,,,113.11,
.INX,S&P 500 INDEX,1982-03-01,,,,113.31,
.INX,S&P 500 INDEX,1982-03-02,,,,112.68,
.INX,S&P 500 INDEX,1982-03-03,,,,110.92,
.INX,S&P 500 INDEX,1982-03-04,,,,109.88,
.INX,S&P 500 INDEX,1982-03-05,,,,109.34,
.INX,S&P 500 INDEX,1982-03-08,,,,107.34,
.INX,S&P 500 INDEX,1982-03-09,,,,108.83,
.INX,S&P 500 INDEX,1982-03-10,,,,109.41,
.INX,S&P 500 INDEX,1982-03-11,,,,109.36,
.INX,S&P 500 INDEX,1982-03-12,,,,108.61,
.INX,S&P 500 INDEX,1982-03-15,,,,109.45,
.INX,S&P 500 INDEX,1982-03-16,,,,109.28,
.INX,S&P 500 INDEX,1982-03-17,,,,109.08,
.INX,S&P 500 INDEX,1982-03-18,,,,110.3,
.INX,S&P 500 INDEX,1982-03-19,,,,110.61,
.INX,S&P 500 INDEX,1982-03-22,,,,112.77,
.INX,S&P 500 INDEX,1982-03-23,,,,113.55,
.INX,S&P 500 INDEX,1982-03-24,,,,112.97,
.INX,S&P 500 INDEX,1982-03-25,,,,113.21,
.INX,S&P 500 INDEX,1982-03-26,,,,111.94,
.INX,S&P 500 INDEX,1982-03-29,,,,112.3,
.INX,S&P 500 INDEX,1982-03-30,,,,112.27,
.INX,S&P 500 INDEX,1982-03-31,,,,111.96,
.INX,S&P 500 INDEX,1982-04-01,,,,113.79,
.INX,S&P 500 INDEX,1982-04-02,,,,115.12,
.INX,S&P 500 INDEX,1982-04-05,,,,114.73,
.INX,S&P 500 INDEX,1982-04-06,,,,115.36,
.INX,S&P 500 INDEX,1982-04-07,,,,115.46,
.INX,S&P 500 INDEX,1982-04-08,,,,116.22,
.INX,S&P 500 INDEX,1982-04-12,,,,116,
.INX,S&P 500 INDEX,1982-04-13,,,,115.99,
.INX,S&P 500 INDEX,1982-04-14,,,,115.83,
.INX,S&P 500 INDEX,1982-04-15,,,,116.35,
.INX,S&P 500 INDEX,1982-04-16,,,,116.81,
.INX,S&P 500 INDEX,1982-04-19,,,,116.7,
.INX,S&P 500 INDEX,1982-04-20,,,,115.44,
.INX,S&P 500 INDEX,1982-04-21,,,,115.72,
.INX,S&P 500 INDEX,1982-04-22,,,,117.19,
.INX,S&P 500 INDEX,1982-04-23,,,,118.64,
.INX,S&P 500 INDEX,1982-04-26,,,,119.26,
.INX,S&P 500 INDEX,1982-04-27,,,,118,
.INX,S&P 500 INDEX,1982-04-28,,,,117.26,
.INX,S&P 500 INDEX,1982-04-29,,,,116.13,
.INX,S&P 500 INDEX,1982-04-30,,,,116.44,
.INX,S&P 500 INDEX,1982-05-03,,,,116.81,
.INX,S&P 500 INDEX,1982-05-04,,,,117.46,
.INX,S&P 500 INDEX,1982-05-05,,,,117.67,
.INX,S&P 500 INDEX,1982-05-06,,,,118.68,
.INX,S&P 500 INDEX,1982-05-07,,,,119.47,
.INX,S&P 500 INDEX,1982-05-10,,,,118.38,
.INX,S&P 500 INDEX,1982-05-11,,,,119.42,
.INX,S&P 500 INDEX,1982-05-12,,,,119.17,
.INX,S&P 500 INDEX,1982-05-13,,,,118.22,
.INX,S&P 500 INDEX,1982-05-14,,,,118.01,
.INX,S&P 500 INDEX,1982-05-17,,,,116.71,
